max_altitude,rise_azimuth,set_azimuth,archived,experimental,year,station_lat,station_lng,station_alt,horizon,station_status,duration_seconds,hour_of_day,day_of_week,month,day_of_year,week_of_year,altitude_squared,altitude_log,hour_sin,hour_cos,month_sin,month_cos,abs_latitude,true_label,predicted_label,error_type
80.0,13.0,198.0,1,0,2023,53.64774,-6.67057,45,0,0,674.0,11,4,7,195,28,6400.0,4.394449154672439,0.258819045102521,-0.9659258262890682,-0.4999999999999997,-0.8660254037844388,53.64774,0.0,1.0,False Positive
60.0,162.0,356.0,1,0,2022,-6.3711,106.6311,100,3,0,627.0,14,3,8,237,34,3600.0,4.110873864173311,-0.4999999999999997,-0.8660254037844388,-0.8660254037844385,-0.5000000000000004,6.3711,1.0,0.0,False Negative
57.0,183.0,335.0,1,0,2024,45.419841,-73.464994,15,16,1,491.0,21,2,5,143,21,3249.0,4.060443010546419,-0.7071067811865477,0.7071067811865474,0.4999999999999999,-0.8660254037844387,45.419841,0.0,1.0,False Positive
32.0,229.0,80.0,1,0,2023,53.1094,6.1076,6,10,2,646.0,17,4,7,202,29,1024.0,3.49650756146648,-0.9659258262890684,-0.2588190451025206,-0.4999999999999997,-0.8660254037844388,53.1094,0.0,1.0,False Positive
89.0,13.0,193.0,1,0,2024,42.4557,-71.2279,70,30,2,222.0,14,3,3,88,13,7921.0,4.499809670330265,-0.4999999999999997,-0.8660254037844388,1.0,6.123233995736766e-17,42.4557,1.0,0.0,False Negative
13.0,128.0,8.0,1,1,2024,41.743,-111.807,1382,0,1,523.0,17,2,8,220,32,169.0,2.6390573296152584,-0.9659258262890684,-0.2588190451025206,-0.8660254037844385,-0.5000000000000004,41.743,0.0,1.0,False Positive
78.0,182.0,89.0,1,0,2023,48.886,8.693,337,46,1,878.0,14,3,11,320,46,6084.0,4.3694478524670215,-0.4999999999999997,-0.8660254037844388,-0.5000000000000004,0.8660254037844384,48.886,0.0,1.0,False Positive
36.0,186.0,340.0,1,0,2024,51.4962,11.9706,110,10,2,684.0,21,4,9,271,39,1296.0,3.610917912644224,-0.7071067811865477,0.7071067811865474,-1.0,-1.8369701987210294e-16,51.4962,0.0,1.0,False Positive
46.0,269.0,109.0,1,1,2024,40.247089,-111.647828,1435,30,0,695.0,0,2,9,255,37,2116.0,3.8501476017100575,0.0,1.0,-1.0,-1.8369701987210294e-16,40.247089,0.0,1.0,False Positive
76.0,325.0,132.0,1,0,2024,-27.492,153.069,29,20,2,267.0,17,4,7,201,29,5776.0,4.343805421853684,-0.9659258262890684,-0.2588190451025206,-0.4999999999999997,-0.8660254037844388,27.492,0.0,1.0,False Positive
6.0,69.0,14.0,1,0,2025,56.964,23.603,12,0,0,281.0,5,6,4,103,15,36.0,1.9459101490553128,0.9659258262890684,0.2588190451025207,0.8660254037844387,-0.4999999999999998,56.964,1.0,0.0,False Negative
21.0,187.0,317.0,0,0,2025,-27.492,153.069,29,10,1,688.0,15,2,8,218,32,441.0,3.091042453358316,-0.7071067811865471,-0.7071067811865479,-0.8660254037844385,-0.5000000000000004,27.492,0.0,1.0,False Positive
